"run_type","pass","position","threads","search","event","helper","diagnostic"
"measured","1","1","2","97","exit","1","SMPDIAG search=97 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=16995 abort_ms=16995 bestmove_ms=16995 helper_elapsed_ns=16994968700 helper_nodes=4767337 search_elapsed_ns=16995057400 exit_cause=helper-abort completed_depth=13 bestmove=e2a6 exception=- tt_reads=6442876 tt_writes=4749134 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","1","2","97","bestmove","-","SMPDIAG search=97 event=bestmove source=main-result move=e2a6 legal=true main_depth=13 main_move=e2a6 latest_move=e2a6 main_score_cp=-145 main_nodes=4903901 main_qnodes=11215848 main_tt_hits=1006808 main_pv=e2a6,e6d5,c3d5,b6d5,e1c1,h3g2,e4d5,g2h1q,d1h1,g7h6,d2h6,e7e5,h6g7,e5g5,c1b1 aborted=false helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 abort_ms=16995 bestmove_ms=16995 search_elapsed_ns=16995056600"
"measured","1","1","2","97","drained","-","SMPDIAG search=97 event=drained helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=16995174300 hashfull=999"
"measured","1","1","4","98","begin","-","SMPDIAG search=98 event=begin threads=4 helpers=3 available_cores=16"
"measured","1","1","4","98","submit","1","SMPDIAG search=98 event=submit helper=1 ms=0 start_depth=2"
"measured","1","1","4","98","submit","2","SMPDIAG search=98 event=submit helper=2 ms=0 start_depth=1"
"measured","1","1","4","98","submit","3","SMPDIAG search=98 event=submit helper=3 ms=0 start_depth=3"
"measured","1","1","4","98","start","1","SMPDIAG search=98 event=start helper=1 ms=0"
"measured","1","1","4","98","start","3","SMPDIAG search=98 event=start helper=3 ms=0"
"measured","1","1","4","98","start","2","SMPDIAG search=98 event=start helper=2 ms=0"
"measured","1","1","4","98","exit","2","SMPDIAG search=98 event=exit helper=2 submit_ms=0 start_ms=0 exit_ms=11831 abort_ms=11831 bestmove_ms=11831 helper_elapsed_ns=11831241700 helper_nodes=3060165 search_elapsed_ns=11831323200 exit_cause=helper-abort completed_depth=13 bestmove=e2a6 exception=- tt_reads=4995945 tt_writes=3047127 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","1","4","98","exit","1","SMPDIAG search=98 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=11831 abort_ms=11831 bestmove_ms=11831 helper_elapsed_ns=11831248000 helper_nodes=3109066 search_elapsed_ns=11831322600 exit_cause=helper-abort completed_depth=13 bestmove=e2a6 exception=- tt_reads=4858716 tt_writes=3096194 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","1","4","98","exit","3","SMPDIAG search=98 event=exit helper=3 submit_ms=0 start_ms=0 exit_ms=11831 abort_ms=11831 bestmove_ms=11831 helper_elapsed_ns=11831229400 helper_nodes=3075946 search_elapsed_ns=11831322700 exit_cause=helper-abort completed_depth=13 bestmove=e2a6 exception=- tt_reads=4851138 tt_writes=3063134 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","1","4","98","bestmove","-","SMPDIAG search=98 event=bestmove source=main-result move=e2a6 legal=true main_depth=13 main_move=e2a6 latest_move=e2a6 main_score_cp=-145 main_nodes=3161535 main_qnodes=7568833 main_tt_hits=1302181 main_pv=e2a6,e6d5,c3d5,b6d5 aborted=false helper_submitted=3 helper_started=3 helper_exited=3 helper_pending=0 helper_exceptions=0 abort_ms=11831 bestmove_ms=11831 search_elapsed_ns=11831319800"
"measured","1","1","4","98","drained","-","SMPDIAG search=98 event=drained helper_submitted=3 helper_started=3 helper_exited=3 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=11831500200 hashfull=998"
"measured","1","1","1","99","begin","-","SMPDIAG search=99 event=begin threads=1 helpers=0 available_cores=16"
"measured","1","1","1","99","bestmove","-","SMPDIAG search=99 event=bestmove source=main-result move=e2a6 legal=true main_depth=13 main_move=e2a6 latest_move=e2a6 main_score_cp=-90 main_nodes=3475078 main_qnodes=7660190 main_tt_hits=475283 main_pv=e2a6,b4c3,d2c3,e6d5,e5g4,h3g2,f3g2,e8f8,c3f6,g7f6,e1c1,f6g5,c1b1,d5e4,h2h4,h8h4 aborted=false helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 abort_ms=11704 bestmove_ms=11704 search_elapsed_ns=11704593500"
"measured","1","1","1","99","drained","-","SMPDIAG search=99 event=drained helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=11704751500 hashfull=925"
"measured","1","2","4","100","begin","-","SMPDIAG search=100 event=begin threads=4 helpers=3 available_cores=16"
"measured","1","2","4","100","submit","1","SMPDIAG search=100 event=submit helper=1 ms=0 start_depth=2"
"measured","1","2","4","100","submit","2","SMPDIAG search=100 event=submit helper=2 ms=0 start_depth=1"
"measured","1","2","4","100","submit","3","SMPDIAG search=100 event=submit helper=3 ms=0 start_depth=3"
"measured","1","2","4","100","start","1","SMPDIAG search=100 event=start helper=1 ms=0"
"measured","1","2","4","100","start","3","SMPDIAG search=100 event=start helper=3 ms=0"
"measured","1","2","4","100","start","2","SMPDIAG search=100 event=start helper=2 ms=0"
"measured","1","2","4","100","exit","2","SMPDIAG search=100 event=exit helper=2 submit_ms=0 start_ms=0 exit_ms=7 abort_ms=7 bestmove_ms=7 helper_elapsed_ns=7166100 helper_nodes=6657 search_elapsed_ns=7256700 exit_cause=helper-abort completed_depth=13 bestmove=e1d2 exception=- tt_reads=14790 tt_writes=6640 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","2","4","100","exit","3","SMPDIAG search=100 event=exit helper=3 submit_ms=0 start_ms=0 exit_ms=7 abort_ms=7 bestmove_ms=7 helper_elapsed_ns=7168300 helper_nodes=6604 search_elapsed_ns=7256600 exit_cause=helper-abort completed_depth=13 bestmove=e1d2 exception=- tt_reads=14762 tt_writes=6590 tt_other=1 after_abort=1 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=1 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","2","4","100","exit","1","SMPDIAG search=100 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=7 abort_ms=7 bestmove_ms=7 helper_elapsed_ns=7168100 helper_nodes=6768 search_elapsed_ns=7256100 exit_cause=helper-abort completed_depth=13 bestmove=e1d2 exception=- tt_reads=14957 tt_writes=6755 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
