"run_type","pass","position","fen","threads","search","main_depth","main_nodes","main_qnodes","main_tt_hits","main_ttd_ms","main_nps_uci","hashfull_depth13","final_hashfull","main_move","bestmove","bestmove_source","legal","total_nodes","total_nps","drain_elapsed_ns","helpers_submitted","helpers_started","helpers_exited","helper_exceptions","info_line","bestmove_diagnostic"
"measured","6","18","r1bqkb1r/ppp2ppp/4pn2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq d6 0 5","2","615","13","897241","2234008","255284","2349","381967","743","743","e2e3","e2e3","main-result","true","1797432","764831.679","2350101400","1","1","1","0","info depth 13 seldepth 25 score cp 382 nodes 897241 nps 381967 time 2349 hashfull 743 pv e2e3 c7c5 b1c3 f8e7 d4c5 e8g8 c4d5 e7c5 g1f3 f6d5 c3d5 e6d5","{move=e2e3, main_pv=e2e3,c7c5,b1c3,f8e7,d4c5,e8g8,c4d5,e7c5,g1f3,f6d5,c3d5,e6d5, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=2350036400, helper_started=1, main_score_cp=382, main_qnodes=2234008, source=main-result, main_tt_hits=255284, abort_ms=2350, main_move=e2e3, main_nodes=897241, search=615, main_depth=13, legal=true, helper_pending=0, bestmove_ms=2350, event=bestmove, latest_move=e2e3}"
"measured","6","19","2r3k1/4qpp1/3p3p/B1pP4/P1P1p1b1/1P4Pp/3Q1P1P/R3R1K1 w - - 0 28","1","616","13","437737","1039288","140745","1059","413349","301","301","a5c3","a5c3","main-result","true","437737","412848.783","1060284100","0","0","0","0","info depth 13 seldepth 22 score cp 640 nodes 437737 nps 413349 time 1059 hashfull 301 pv a5c3 c8b8 a4a5 g4f3 a5a6 e7a7 d2c2 f7f5 c2b2 b8b6 b2a2 b6b8 a2c2","{move=a5c3, main_pv=a5c3,c8b8,a4a5,g4f3,a5a6,e7a7,d2c2,f7f5,c2b2,b8b6,b2a2,b6b8,a2c2, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=1060242700, helper_started=0, main_score_cp=640, main_qnodes=1039288, source=main-result, main_tt_hits=140745, abort_ms=1060, main_move=a5c3, main_nodes=437737, search=616, main_depth=13, legal=true, helper_pending=0, bestmove_ms=1060, event=bestmove, latest_move=a5c3}"
"measured","6","19","2r3k1/4qpp1/3p3p/B1pP4/P1P1p1b1/1P4Pp/3Q1P1P/R3R1K1 w - - 0 28","2","617","13","231733","532469","115880","582","398166","278","278","a5c3","a5c3","main-result","true","458013","785818.000","582848700","1","1","1","0","info depth 13 seldepth 22 score cp 637 nodes 231733 nps 398166 time 582 hashfull 278 pv a5c3 c8a8 a4a5 a8a6 d2f4 f7f5 b3b4 c5b4 c3b4","{move=a5c3, main_pv=a5c3,c8a8,a4a5,a8a6,d2f4,f7f5,b3b4,c5b4,c3b4, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=582810700, helper_started=1, main_score_cp=637, main_qnodes=532469, source=main-result, main_tt_hits=115880, abort_ms=582, main_move=a5c3, main_nodes=231733, search=617, main_depth=13, legal=true, helper_pending=0, bestmove_ms=582, event=bestmove, latest_move=a5c3}"
"measured","6","19","2r3k1/4qpp1/3p3p/B1pP4/P1P1p1b1/1P4Pp/3Q1P1P/R3R1K1 w - - 0 28","4","618","13","202028","500616","125196","519","389263","420","420","a5b6","a5b6","main-result","true","803018","1544172.437","520031300","3","3","3","0","info depth 13 seldepth 22 score cp 654 nodes 202028 nps 389263 time 519 hashfull 420 pv a5b6 c8a8 a4a5 a8a6 b3b4 c5b4 d2b4 g4c8","{move=a5b6, main_pv=a5b6,c8a8,a4a5,a8a6,b3b4,c5b4,d2b4,g4c8, helper_submitted=3, aborted=false, helper_exited=3, helper_exceptions=0, search_elapsed_ns=519962300, helper_started=3, main_score_cp=654, main_qnodes=500616, source=main-result, main_tt_hits=125196, abort_ms=519, main_move=a5b6, main_nodes=202028, search=618, main_depth=13, legal=true, helper_pending=0, bestmove_ms=519, event=bestmove, latest_move=a5b6}"
"measured","6","20","r4rk1/3qppbp/6p1/2p1n3/2B1P3/2P5/P2Q1PPP/R4RK1 b - - 0 20","2","619","13","118210","185997","79954","253","467233","128","128","d7d2","d7d2","main-result","true","236844","932461.098","253998800","1","1","1","0","info depth 13 seldepth 21 score cp 1578 nodes 118210 nps 467233 time 253 hashfull 128 pv d7d2 f1d1 d2c3 a1c1 c3b4 c4d5 a8b8 f2f4 e7e6 f4e5 e6d5 d1d5 f8c8 e5e6","{move=d7d2, main_pv=d7d2,f1d1,d2c3,a1c1,c3b4,c4d5,a8b8,f2f4,e7e6,f4e5,e6d5,d1d5,f8c8,e5e6, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=253956700, helper_started=1, main_score_cp=1578, main_qnodes=185997, source=main-result, main_tt_hits=79954, abort_ms=253, main_move=d7d2, main_nodes=118210, search=619, main_depth=13, legal=true, helper_pending=0, bestmove_ms=253, event=bestmove, latest_move=d7d2}"
"measured","6","20","r4rk1/3qppbp/6p1/2p1n3/2B1P3/2P5/P2Q1PPP/R4RK1 b - - 0 20","4","620","13","112928","196695","92957","265","426143","182","182","d7d2","d7d2","main-result","true","451006","1694287.697","266192100","3","3","3","0","info depth 13 seldepth 22 score cp 1608 nodes 112928 nps 426143 time 265 hashfull 182 pv d7d2 f1d1 d2c3 c4d5 a8b8 a1c1 c3a3 c1c2 e5d3 c2d2","{move=d7d2, main_pv=d7d2,f1d1,d2c3,c4d5,a8b8,a1c1,c3a3,c1c2,e5d3,c2d2, helper_submitted=3, aborted=false, helper_exited=3, helper_exceptions=0, search_elapsed_ns=266076400, helper_started=3, main_score_cp=1608, main_qnodes=196695, source=main-result, main_tt_hits=92957, abort_ms=266, main_move=d7d2, main_nodes=112928, search=620, main_depth=13, legal=true, helper_pending=0, bestmove_ms=266, event=bestmove, latest_move=d7d2}"
"measured","6","20","r4rk1/3qppbp/6p1/2p1n3/2B1P3/2P5/P2Q1PPP/R4RK1 b - - 0 20","1","621","13","150814","238508","80953","319","472771","126","126","d7d2","d7d2","main-result","true","150814","471280.937","320008700","0","0","0","0","info depth 13 seldepth 21 score cp 1583 nodes 150814 nps 472771 time 319 hashfull 126 pv d7d2 f1d1 d2c3 a1c1 c3a5 c4b3 g7h6 c1b1 e7e6 a2a4 c5c4 b3c2 a5c3","{move=d7d2, main_pv=d7d2,f1d1,d2c3,a1c1,c3a5,c4b3,g7h6,c1b1,e7e6,a2a4,c5c4,b3c2,a5c3, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=319965300, helper_started=0, main_score_cp=1583, main_qnodes=238508, source=main-result, main_tt_hits=80953, abort_ms=319, main_move=d7d2, main_nodes=150814, search=621, main_depth=13, legal=true, helper_pending=0, bestmove_ms=319, event=bestmove, latest_move=d7d2}"
"measured","6","21","1rr3k1/4ppb1/2q1bnpp/3p4/2pP4/2P1BNNP/PP3PPK/2QRR3 b - - 6 26","4","622","13","882600","1902324","273690","2595","340115","897","897","c6a6","c6a6","main-result","true","3513899","1353503.582","2596150500","3","3","3","0","info depth 13 seldepth 25 score cp -36 nodes 882600 nps 340115 time 2595 hashfull 897 pv c6a6 a2a3 c8e8 e1e2 g6g5 h2g1 a6a5 f3e5 a5c7","{move=c6a6, main_pv=c6a6,a2a3,c8e8,e1e2,g6g5,h2g1,a6a5,f3e5,a5c7, helper_submitted=3, aborted=false, helper_exited=3, helper_exceptions=0, search_elapsed_ns=2596067300, helper_started=3, main_score_cp=-36, main_qnodes=1902324, source=main-result, main_tt_hits=273690, abort_ms=2596, main_move=c6a6, main_nodes=882600, search=622, main_depth=13, legal=true, helper_pending=0, bestmove_ms=2596, event=bestmove, latest_move=c6a6}"
"measured","6","21","1rr3k1/4ppb1/2q1bnpp/3p4/2pP4/2P1BNNP/PP3PPK/2QRR3 b - - 6 26","1","623","13","2172114","4644866","454851","5941","365614","817","817","c6a6","c6a6","main-result","true","2172114","365548.376","5942069900","0","0","0","0","info depth 13 seldepth 23 score cp -37 nodes 2172114 nps 365614 time 5941 hashfull 817 pv c6a6 e3h6 g7h6 c1h6 b8b2 h2g1 a6d6","{move=c6a6, main_pv=c6a6,e3h6,g7h6,c1h6,b8b2,h2g1,a6d6, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=5942028300, helper_started=0, main_score_cp=-37, main_qnodes=4644866, source=main-result, main_tt_hits=454851, abort_ms=5942, main_move=c6a6, main_nodes=2172114, search=623, main_depth=13, legal=true, helper_pending=0, bestmove_ms=5942, event=bestmove, latest_move=c6a6}"
"measured","6","21","1rr3k1/4ppb1/2q1bnpp/3p4/2pP4/2P1BNNP/PP3PPK/2QRR3 b - - 6 26","2","624","13","984162","2184805","315312","2784","353506","775","775","g6g5","g6g5","main-result","true","1965365","705672.239","2785096100","1","1","1","0","info depth 13 seldepth 23 score cp -33 nodes 984162 nps 353506 time 2784 hashfull 775 pv g6g5 h2g1 c6b6 e1e2 b6c7 c1c2 b8a8","{move=g6g5, main_pv=g6g5,h2g1,c6b6,e1e2,b6c7,c1c2,b8a8, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=2785056400, helper_started=1, main_score_cp=-33, main_qnodes=2184805, source=main-result, main_tt_hits=315312, abort_ms=2785, main_move=g6g5, main_nodes=984162, search=624, main_depth=13, legal=true, helper_pending=0, bestmove_ms=2785, event=bestmove, latest_move=g6g5}"
