param_name,idx,fisher_diagonal,activation_count,value,min_value,max_value,status
BISHOP_PST_MG[4],272,3.727268e-11,2355,-50.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[2],142,3.813085e-11,1772,-43.0,-200.0,200.0,STARVED
BISHOP_PST_MG[3],271,3.945074e-11,2822,-76.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[7],147,3.976583e-11,842,-108.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[3],143,4.233603e-11,2050,-46.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[56],196,4.302209e-11,864,-82.0,-200.0,200.0,STARVED
KNIGHT_PST_EG[63],267,4.346165e-11,708,-45.0,-200.0,200.0,STARVED
BISHOP_PST_MG[2],270,4.390033e-11,2296,-126.0,-200.0,200.0,STARVED
QUEEN_PST_EG[63],651,4.431017e-11,1167,13.0,-200.0,200.0,STARVED
KING_PST_EG[0],716,4.494918e-11,437,-81.0,-200.0,200.0,STARVED
BISHOP_PST_MG[5],273,4.582294e-11,2303,-52.0,-200.0,200.0,STARVED
KING_PST_MG[26],678,4.729224e-11,7106,39.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[5],145,4.924048e-11,1547,-106.0,-200.0,200.0,STARVED
KING_PST_EG[7],723,5.059554e-11,601,-29.0,-200.0,200.0,STARVED
BISHOP_PST_MG[7],275,5.125851e-11,1434,8.0,-200.0,200.0,STARVED
BISHOP_PST_MG[1],269,5.168743e-11,2224,-6.0,-200.0,200.0,STARVED
KING_PST_MG[27],679,5.250995e-11,8762,-20.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[63],203,5.398115e-11,736,26.0,-200.0,200.0,STARVED
QUEEN_PST_EG[62],650,5.529174e-11,1343,11.0,-200.0,200.0,STARVED
KING_PST_MG[33],685,5.640273e-11,6502,49.0,-200.0,200.0,STARVED
PAWN_PST_MG[13],25,6.005139e-11,3750,-44.0,-200.0,200.0,STARVED
KING_PST_EG[1],717,6.084805e-11,741,-73.0,-200.0,200.0,STARVED
KING_PST_MG[40],692,6.151766e-11,4302,-18.0,-200.0,200.0,STARVED
QUEEN_PST_EG[55],643,6.286618e-11,1629,2.0,-200.0,200.0,STARVED
KING_PST_MG[29],681,6.387515e-11,10162,-21.0,-200.0,200.0,STARVED
KNIGHT_PST_EG[56],260,6.405693e-11,859,17.0,-200.0,200.0,STARVED
KNIGHT_PST_EG[7],211,6.746008e-11,842,-67.0,-200.0,200.0,STARVED
KING_PST_MG[28],680,6.813268e-11,10005,-15.0,-200.0,200.0,STARVED
KING_PST_MG[31],683,6.899522e-11,7049,-120.0,-200.0,200.0,STARVED
QUEEN_PST_MG[5],529,7.003949e-11,2518,115.0,-200.0,200.0,STARVED
PAWN_PST_MG[12],24,7.308047e-11,3616,32.0,-200.0,200.0,STARVED
KING_PST_EG[6],722,7.413517e-11,959,-19.0,-200.0,200.0,STARVED
ROOK_PST_MG[6],402,7.424846e-11,5729,3.0,-200.0,200.0,STARVED
ROOK_PST_MG[5],401,7.579288e-11,5758,-25.0,-200.0,200.0,STARVED
BISHOP_PST_MG[11],279,7.736312e-11,3758,-42.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[14],154,7.755115e-11,2388,18.0,-200.0,200.0,STARVED
KING_PST_MG[34],686,7.963976e-11,10766,-33.0,-200.0,200.0,STARVED
