[TunerMain] Dataset:       C:\Users\yashk\WorkDir\Projects\ChessEngine\chess-engine\engine-tuner\src\test\resources\quiet-labeled-sample.epd
[TunerMain] Max positions: 1020
[TunerMain] Max iters:     500
[TunerMain] Loaded 1,020 positions
[TunerMain] Finding optimal K...
[KFinder] K = 0.500050  (MSE = 0.19615485)
[TunerMain] Running coordinate descent (K=0.500050, maxIters=500)...
[Tuner] iter  93  MSE=0.17061705  improved=true  time=81ms
[Tuner] iter  94  MSE=0.17061615  improved=true  time=81ms
[Tuner] iter  95  MSE=0.17061576  improved=true  time=79ms
[Tuner] iter  96  MSE=0.17061558  improved=true  time=82ms
[Tuner] iter  97  MSE=0.17061547  improved=true  time=81ms
[Tuner] iter  98  MSE=0.17061538  improved=true  time=85ms
[Tuner] iter  99  MSE=0.17061538  improved=false  time=79ms
[Tuner] converged after 99 iterations
[TunerMain] Tuned parameters written to: C:\Users\yashk\WorkDir\Projects\ChessEngine\chess-engine\tuned_params.txt
[TunerMain] Copy values manually from tuned_params.txt into engine-core source files.
